cluster,seq_num,fm_num,gn_num,fm_rate,gn_rate,major_family,major_genus,cutoff,positive,negative,Segment
cluster425,2,1,1,{'Picornaviridae': 1.0},{'Teschovirus': 1.0},Picornaviridae,Teschovirus,1895.93,5132.6,1536.3,complete
cluster426,5,1,1,{'Rhabdoviridae': 1.0},{'Arurhavirus': 1.0},Rhabdoviridae,Arurhavirus,512.63,766.7,484.4,complete
cluster427,5,1,1,{'Rhabdoviridae': 1.0},{'Arurhavirus': 1.0},Rhabdoviridae,Arurhavirus,149.19,298.5,132.6,complete
cluster428,5,1,1,{'Rhabdoviridae': 1.0},{'Arurhavirus': 1.0},Rhabdoviridae,Arurhavirus,309.72,880.5,246.3,complete
cluster429,5,1,1,{'Rhabdoviridae': 1.0},{'Arurhavirus': 1.0},Rhabdoviridae,Arurhavirus,2466.05,3859.7,2311.2,complete
cluster430,4,1,1,{'Rhabdoviridae': 1.0},{'Arurhavirus': 1.0},Rhabdoviridae,Arurhavirus,77.57,396.8,42.1,complete
cluster431,2,1,1,{'Rhabdoviridae': 1.0},{'Arurhavirus': 1.0},Rhabdoviridae,Arurhavirus,16.9,91.6,8.6,complete
cluster432,4,1,1,{'Rhabdoviridae': 1.0},{'Sawgrhavirus': 1.0},Rhabdoviridae,Sawgrhavirus,447.13,1019.8,383.5,complete
cluster433,4,1,1,{'Rhabdoviridae': 1.0},{'Sawgrhavirus': 1.0},Rhabdoviridae,Sawgrhavirus,108.34,487.6,66.2,complete
cluster434,4,1,1,{'Rhabdoviridae': 1.0},{'Sawgrhavirus': 1.0},Rhabdoviridae,Sawgrhavirus,163.67,433.4,133.7,complete
cluster435,4,1,1,{'Rhabdoviridae': 1.0},{'Sawgrhavirus': 1.0},Rhabdoviridae,Sawgrhavirus,392.09,923.9,333.0,complete
cluster436,4,1,1,{'Rhabdoviridae': 1.0},{'Sawgrhavirus': 1.0},Rhabdoviridae,Sawgrhavirus,3061.0,4563.1,2894.1,complete
cluster437,2,1,1,{'Rhabdoviridae': 1.0},{'Lostrhavirus': 1.0},Rhabdoviridae,Lostrhavirus,375.07,945.4,311.7,complete
cluster438,2,1,1,{'Rhabdoviridae': 1.0},{'Lostrhavirus': 1.0},Rhabdoviridae,Lostrhavirus,504.57,1064.1,442.4,complete
cluster439,2,1,1,{'Rhabdoviridae': 1.0},{'Lostrhavirus': 1.0},Rhabdoviridae,Lostrhavirus,3244.58,4718.6,3080.8,complete
cluster440,2,1,1,{'Picornaviridae': 1.0},{'Anativirus': 1.0},Picornaviridae,Anativirus,2485.51,5087.5,2196.4,complete
cluster441,2,1,1,{'Picornaviridae': 1.0},{'Potamipivirus': 1.0},Picornaviridae,Potamipivirus,1760.64,5454.6,1350.2,complete
cluster442,8,1,1,{'Rhabdoviridae': 1.0},{'Betanucleorhabdovirus': 1.0},Rhabdoviridae,Betanucleorhabdovirus,224.86,669.1,175.5,complete
cluster443,8,1,1,{'Rhabdoviridae': 1.0},{'Betanucleorhabdovirus': 1.0},Rhabdoviridae,Betanucleorhabdovirus,265.19,773.6,208.7,complete
cluster444,8,1,1,{'Rhabdoviridae': 1.0},{'Betanucleorhabdovirus': 1.0},Rhabdoviridae,Betanucleorhabdovirus,1362.06,2915.1,1189.5,complete
cluster445,7,1,1,{'Rhabdoviridae': 1.0},{'Betanucleorhabdovirus': 1.0},Rhabdoviridae,Betanucleorhabdovirus,52.6,403.6,13.6,complete
cluster446,4,1,1,{'Rhabdoviridae': 1.0},{'Betanucleorhabdovirus': 1.0},Rhabdoviridae,Betanucleorhabdovirus,42.61,426.1,0.0,complete
cluster447,3,1,1,{'Rhabdoviridae': 1.0},{'Betanucleorhabdovirus': 1.0},Rhabdoviridae,Betanucleorhabdovirus,55.32,553.2,0.0,complete
cluster448,2,1,1,{'Picornaviridae': 1.0},{'Tropivirus': 1.0},Picornaviridae,Tropivirus,1548.92,4710.8,1197.6,complete
cluster449,8,1,1,{'Rhabdoviridae': 1.0},{'Sripuvirus': 1.0},Rhabdoviridae,Sripuvirus,325.52,799.1,272.9,complete
cluster450,8,1,1,{'Rhabdoviridae': 1.0},{'Sripuvirus': 1.0},Rhabdoviridae,Sripuvirus,2125.19,3617.3,1959.4,complete
cluster451,5,1,1,{'Rhabdoviridae': 1.0},{'Sripuvirus': 1.0},Rhabdoviridae,Sripuvirus,306.17,683.9,264.2,complete
cluster452,3,1,1,{'Rhabdoviridae': 1.0},{'Sripuvirus': 1.0},Rhabdoviridae,Sripuvirus,310.1,792.5,256.5,complete
cluster453,3,1,1,{'Rhabdoviridae': 1.0},{'Sripuvirus': 1.0},Rhabdoviridae,Sripuvirus,58.44,303.6,31.2,complete
cluster454,2,1,1,{'Rhabdoviridae': 1.0},{'Sripuvirus': 1.0},Rhabdoviridae,Sripuvirus,64.48,411.7,25.9,complete
cluster455,2,1,1,{'Rhabdoviridae': 1.0},{'Sripuvirus': 1.0},Rhabdoviridae,Sripuvirus,17.9,179.0,0.0,complete
cluster456,2,1,1,{'Rhabdoviridae': 1.0},{'Sripuvirus': 1.0},Rhabdoviridae,Sripuvirus,32.88,219.9,12.1,complete
cluster457,2,1,1,{'Rhabdoviridae': 1.0},{'Sripuvirus': 1.0},Rhabdoviridae,Sripuvirus,61.76,486.2,14.6,complete
cluster458,2,1,1,{'Rhabdoviridae': 1.0},{'Sripuvirus': 1.0},Rhabdoviridae,Sripuvirus,56.15,375.2,20.7,complete
cluster459,3,1,1,{'Picornaviridae': 1.0},{'Mosavirus': 1.0},Picornaviridae,Mosavirus,1903.89,4375.2,1629.3,complete
cluster460,22,1,1,{'Flaviviridae': 1.0},{'Pestivirus': 1.0},Flaviviridae,Pestivirus,6682.53,5344.5,6831.2,complete
cluster461,4,1,1,{'Picornaviridae': 1.0},{'Bopivirus': 1.0},Picornaviridae,Bopivirus,2494.37,3395.0,2394.3,complete
cluster462,3,1,1,{'Picornaviridae': 1.0},{'Shanbavirus': 1.0},Picornaviridae,Shanbavirus,1997.17,3127.3,1871.6,complete
cluster463,32,1,1,{'Rhabdoviridae': 1.0},{'Cytorhabdovirus': 1.0},Rhabdoviridae,Cytorhabdovirus,1248.09,2139.9,1149.0,complete
cluster464,20,1,1,{'Rhabdoviridae': 1.0},{'Cytorhabdovirus': 1.0},Rhabdoviridae,Cytorhabdovirus,120.18,420.6,86.8,complete
cluster465,19,1,1,{'Rhabdoviridae': 1.0},{'Cytorhabdovirus': 1.0},Rhabdoviridae,Cytorhabdovirus,165.31,518.2,126.1,complete
cluster466,11,1,1,{'Rhabdoviridae': 1.0},{'Cytorhabdovirus': 1.0},Rhabdoviridae,Cytorhabdovirus,169.24,453.1,137.7,complete
cluster467,9,1,1,{'Rhabdoviridae': 1.0},{'Cytorhabdovirus': 1.0},Rhabdoviridae,Cytorhabdovirus,41.24,253.1,17.7,complete
cluster468,7,1,1,{'Rhabdoviridae': 1.0},{'Cytorhabdovirus': 1.0},Rhabdoviridae,Cytorhabdovirus,145.23,469.5,109.2,complete
cluster469,5,1,1,{'Rhabdoviridae': 1.0},{'Cytorhabdovirus': 1.0},Rhabdoviridae,Cytorhabdovirus,48.01,374.8,11.7,complete
cluster470,4,1,1,{'Rhabdoviridae': 1.0},{'Cytorhabdovirus': 1.0},Rhabdoviridae,Cytorhabdovirus,48.2,482.0,0.0,complete
cluster471,4,1,1,{'Rhabdoviridae': 1.0},{'Cytorhabdovirus': 1.0},Rhabdoviridae,Cytorhabdovirus,39.12,257.1,14.9,complete
cluster472,4,1,1,{'Rhabdoviridae': 1.0},{'Cytorhabdovirus': 1.0},Rhabdoviridae,Cytorhabdovirus,25.81,258.1,0.0,complete
cluster473,4,1,1,{'Rhabdoviridae': 1.0},{'Cytorhabdovirus': 1.0},Rhabdoviridae,Cytorhabdovirus,53.29,421.3,12.4,complete
cluster474,4,1,1,{'Rhabdoviridae': 1.0},{'Cytorhabdovirus': 1.0},Rhabdoviridae,Cytorhabdovirus,38.99,253.1,15.2,complete
cluster475,3,1,1,{'Rhabdoviridae': 1.0},{'Cytorhabdovirus': 1.0},Rhabdoviridae,Cytorhabdovirus,60.62,492.8,12.6,complete
cluster476,3,1,1,{'Rhabdoviridae': 1.0},{'Cytorhabdovirus': 1.0},Rhabdoviridae,Cytorhabdovirus,51.72,385.8,14.6,complete
cluster477,3,1,1,{'Rhabdoviridae': 1.0},{'Cytorhabdovirus': 1.0},Rhabdoviridae,Cytorhabdovirus,12.41,124.1,0.0,complete
cluster478,3,1,1,{'Rhabdoviridae': 1.0},{'Cytorhabdovirus': 1.0},Rhabdoviridae,Cytorhabdovirus,45.22,452.2,0.0,complete
cluster479,3,1,1,{'Rhabdoviridae': 1.0},{'Cytorhabdovirus': 1.0},Rhabdoviridae,Cytorhabdovirus,131.44,1049.8,29.4,complete
cluster480,3,1,1,{'Rhabdoviridae': 1.0},{'Cytorhabdovirus': 1.0},Rhabdoviridae,Cytorhabdovirus,62.03,486.2,14.9,complete
cluster481,3,1,1,{'Rhabdoviridae': 1.0},{'Cytorhabdovirus': 1.0},Rhabdoviridae,Cytorhabdovirus,86.09,860.9,0.0,complete
cluster482,3,1,1,{'Rhabdoviridae': 1.0},{'Cytorhabdovirus': 1.0},Rhabdoviridae,Cytorhabdovirus,39.08,280.1,12.3,complete
cluster483,2,1,1,{'Rhabdoviridae': 1.0},{'Cytorhabdovirus': 1.0},Rhabdoviridae,Cytorhabdovirus,37.39,373.9,0.0,complete
cluster484,2,1,1,{'Rhabdoviridae': 1.0},{'Cytorhabdovirus': 1.0},Rhabdoviridae,Cytorhabdovirus,131.78,982.1,37.3,complete
cluster485,2,1,1,{'Rhabdoviridae': 1.0},{'Cytorhabdovirus': 1.0},Rhabdoviridae,Cytorhabdovirus,143.36,978.2,50.6,complete
cluster486,2,1,1,{'Rhabdoviridae': 1.0},{'Cytorhabdovirus': 1.0},Rhabdoviridae,Cytorhabdovirus,49.31,349.1,16.0,complete
cluster487,2,1,1,{'Rhabdoviridae': 1.0},{'Cytorhabdovirus': 1.0},Rhabdoviridae,Cytorhabdovirus,70.11,701.1,0.0,complete
cluster488,2,1,1,{'Rhabdoviridae': 1.0},{'Cytorhabdovirus': 1.0},Rhabdoviridae,Cytorhabdovirus,53.26,532.6,0.0,complete
cluster489,2,1,1,{'Rhabdoviridae': 1.0},{'Cytorhabdovirus': 1.0},Rhabdoviridae,Cytorhabdovirus,41.95,419.5,0.0,complete
cluster490,2,1,1,{'Rhabdoviridae': 1.0},{'Cytorhabdovirus': 1.0},Rhabdoviridae,Cytorhabdovirus,39.15,234.9,17.4,complete
cluster491,2,1,1,{'Rhabdoviridae': 1.0},{'Cytorhabdovirus': 1.0},Rhabdoviridae,Cytorhabdovirus,19.09,190.9,0.0,complete
cluster492,2,1,1,{'Rhabdoviridae': 1.0},{'Cytorhabdovirus': 1.0},Rhabdoviridae,Cytorhabdovirus,45.69,346.2,12.3,complete
cluster493,49,1,1,{'Alphaflexiviridae': 1.0},{'Potexvirus': 1.0},Alphaflexiviridae,Potexvirus,1606.65,2013.9,1561.4,complete
cluster494,43,1,1,{'Alphaflexiviridae': 1.0},{'Potexvirus': 1.0},Alphaflexiviridae,Potexvirus,248.58,228.6,250.8,complete
cluster495,39,1,1,{'Alphaflexiviridae': 1.0},{'Potexvirus': 1.0},Alphaflexiviridae,Potexvirus,235.45,199.0,239.5,complete
cluster496,11,1,1,{'Alphaflexiviridae': 1.0},{'Potexvirus': 1.0},Alphaflexiviridae,Potexvirus,113.56,120.4,112.8,complete
cluster497,10,1,1,{'Alphaflexiviridae': 1.0},{'Potexvirus': 1.0},Alphaflexiviridae,Potexvirus,160.35,270.6,148.1,complete
cluster498,3,1,1,{'Alphaflexiviridae': 1.0},{'Potexvirus': 1.0},Alphaflexiviridae,Potexvirus,39.39,121.2,30.3,complete
cluster499,2,1,1,{'Alphaflexiviridae': 1.0},{'Potexvirus': 1.0},Alphaflexiviridae,Potexvirus,85.09,457.6,43.7,complete
cluster500,2,1,1,{'Alphaflexiviridae': 1.0},{'Potexvirus': 1.0},Alphaflexiviridae,Potexvirus,46.35,189.9,30.4,complete
cluster501,16,1,1,{'Rhabdoviridae': 1.0},{'Sigmavirus': 1.0},Rhabdoviridae,Sigmavirus,2813.67,3177.9,2773.2,complete
cluster502,8,1,1,{'Rhabdoviridae': 1.0},{'Sigmavirus': 1.0},Rhabdoviridae,Sigmavirus,388.12,561.1,368.9,complete
cluster503,6,1,1,{'Rhabdoviridae': 1.0},{'Sigmavirus': 1.0},Rhabdoviridae,Sigmavirus,306.94,618.7,272.3,complete
cluster504,6,1,1,{'Rhabdoviridae': 1.0},{'Sigmavirus': 1.0},Rhabdoviridae,Sigmavirus,326.51,763.1,278.0,complete
cluster505,5,1,1,{'Rhabdoviridae': 1.0},{'Sigmavirus': 1.0},Rhabdoviridae,Sigmavirus,288.62,763.1,235.9,complete
cluster506,5,1,1,{'Rhabdoviridae': 1.0},{'Sigmavirus': 1.0},Rhabdoviridae,Sigmavirus,107.9,328.4,83.4,complete
cluster507,4,1,1,{'Rhabdoviridae': 1.0},{'Sigmavirus': 1.0},Rhabdoviridae,Sigmavirus,104.28,381.3,73.5,complete
cluster508,3,1,1,{'Rhabdoviridae': 1.0},{'Sigmavirus': 1.0},Rhabdoviridae,Sigmavirus,244.49,801.5,182.6,complete
cluster509,3,1,1,{'Rhabdoviridae': 1.0},{'Sigmavirus': 1.0},Rhabdoviridae,Sigmavirus,45.2,452.0,0.0,complete
cluster510,3,1,1,{'Rhabdoviridae': 1.0},{'Sigmavirus': 1.0},Rhabdoviridae,Sigmavirus,50.69,506.9,0.0,complete
cluster511,2,1,1,{'Rhabdoviridae': 1.0},{'Sigmavirus': 1.0},Rhabdoviridae,Sigmavirus,84.9,428.7,46.7,complete
cluster512,2,1,1,{'Rhabdoviridae': 1.0},{'Sigmavirus': 1.0},Rhabdoviridae,Sigmavirus,276.15,995.7,196.2,complete
cluster513,2,1,1,{'Rhabdoviridae': 1.0},{'Sigmavirus': 1.0},Rhabdoviridae,Sigmavirus,84.52,399.7,49.5,complete
cluster514,2,1,1,{'Rhabdoviridae': 1.0},{'Sigmavirus': 1.0},Rhabdoviridae,Sigmavirus,249.92,1088.9,156.7,complete
cluster515,2,1,1,{'Rhabdoviridae': 1.0},{'Sigmavirus': 1.0},Rhabdoviridae,Sigmavirus,74.35,743.5,0.0,complete
cluster516,2,1,1,{'Rhabdoviridae': 1.0},{'Sigmavirus': 1.0},Rhabdoviridae,Sigmavirus,50.88,508.8,0.0,complete
cluster517,2,1,1,{'Rhabdoviridae': 1.0},{'Alphapaprhavirus': 1.0},Rhabdoviridae,Alphapaprhavirus,348.78,919.2,285.4,complete
cluster518,2,1,1,{'Rhabdoviridae': 1.0},{'Alphapaprhavirus': 1.0},Rhabdoviridae,Alphapaprhavirus,97.73,527.3,50.0,complete
cluster519,2,1,1,{'Rhabdoviridae': 1.0},{'Alphapaprhavirus': 1.0},Rhabdoviridae,Alphapaprhavirus,151.46,996.2,57.6,complete
cluster520,2,1,1,{'Rhabdoviridae': 1.0},{'Alphapaprhavirus': 1.0},Rhabdoviridae,Alphapaprhavirus,2504.64,4678.5,2263.1,complete
cluster521,3,1,1,{'Rhabdoviridae': 1.0},{'Betanemrhavirus': 1.0},Rhabdoviridae,Betanemrhavirus,98.65,734.5,28.0,complete
cluster522,3,1,1,{'Rhabdoviridae': 1.0},{'Betanemrhavirus': 1.0},Rhabdoviridae,Betanemrhavirus,146.89,1189.9,31.0,complete
cluster523,3,1,1,{'Rhabdoviridae': 1.0},{'Betanemrhavirus': 1.0},Rhabdoviridae,Betanemrhavirus,1184.65,4322.5,836.0,complete
cluster524,2,1,1,{'Rhabdoviridae': 1.0},{'Betanemrhavirus': 1.0},Rhabdoviridae,Betanemrhavirus,68.8,688.0,0.0,complete
cluster525,2,1,1,{'Rhabdoviridae': 1.0},{'Betanemrhavirus': 1.0},Rhabdoviridae,Betanemrhavirus,76.7,767.0,0.0,complete
cluster526,2,1,1,{'Rhabdoviridae': 1.0},{'Betanemrhavirus': 1.0},Rhabdoviridae,Betanemrhavirus,54.84,443.1,11.7,complete
cluster527,13,1,1,{'Rhabdoviridae': 1.0},{'Alphanucleorhabdovirus': 1.0},Rhabdoviridae,Alphanucleorhabdovirus,1417.31,2581.1,1288.0,complete
cluster528,8,1,1,{'Rhabdoviridae': 1.0},{'Alphanucleorhabdovirus': 1.0},Rhabdoviridae,Alphanucleorhabdovirus,246.97,608.5,206.8,complete
cluster529,5,1,1,{'Rhabdoviridae': 1.0},{'Alphanucleorhabdovirus': 1.0},Rhabdoviridae,Alphanucleorhabdovirus,220.89,852.6,150.7,complete
cluster530,5,1,1,{'Rhabdoviridae': 1.0},{'Alphanucleorhabdovirus': 1.0},Rhabdoviridae,Alphanucleorhabdovirus,10.8,108.0,0.0,complete
cluster531,5,1,1,{'Rhabdoviridae': 1.0},{'Alphanucleorhabdovirus': 1.0},Rhabdoviridae,Alphanucleorhabdovirus,54.41,544.1,0.0,complete
cluster532,5,1,1,{'Rhabdoviridae': 1.0},{'Alphanucleorhabdovirus': 1.0},Rhabdoviridae,Alphanucleorhabdovirus,41.77,417.7,0.0,complete
cluster533,5,1,1,{'Rhabdoviridae': 1.0},{'Alphanucleorhabdovirus': 1.0},Rhabdoviridae,Alphanucleorhabdovirus,252.9,1088.1,160.1,complete
cluster534,5,1,1,{'Rhabdoviridae': 1.0},{'Alphanucleorhabdovirus': 1.0},Rhabdoviridae,Alphanucleorhabdovirus,231.89,886.1,159.2,complete
cluster535,4,1,1,{'Rhabdoviridae': 1.0},{'Alphanucleorhabdovirus': 1.0},Rhabdoviridae,Alphanucleorhabdovirus,47.14,471.4,0.0,complete
cluster536,4,1,1,{'Rhabdoviridae': 1.0},{'Alphanucleorhabdovirus': 1.0},Rhabdoviridae,Alphanucleorhabdovirus,61.12,485.2,14.0,complete
cluster537,4,1,1,{'Rhabdoviridae': 1.0},{'Alphanucleorhabdovirus': 1.0},Rhabdoviridae,Alphanucleorhabdovirus,41.1,411.0,0.0,complete
cluster538,3,1,1,{'Rhabdoviridae': 1.0},{'Alphanucleorhabdovirus': 1.0},Rhabdoviridae,Alphanucleorhabdovirus,53.05,530.5,0.0,complete
cluster539,3,1,1,{'Rhabdoviridae': 1.0},{'Alphanucleorhabdovirus': 1.0},Rhabdoviridae,Alphanucleorhabdovirus,257.51,1163.9,156.8,complete
cluster540,3,1,1,{'Rhabdoviridae': 1.0},{'Alphanucleorhabdovirus': 1.0},Rhabdoviridae,Alphanucleorhabdovirus,53.05,530.5,0.0,complete
cluster541,2,1,1,{'Rhabdoviridae': 1.0},{'Alphanucleorhabdovirus': 1.0},Rhabdoviridae,Alphanucleorhabdovirus,63.32,633.2,0.0,complete
cluster542,2,1,1,{'Rhabdoviridae': 1.0},{'Alphanucleorhabdovirus': 1.0},Rhabdoviridae,Alphanucleorhabdovirus,63.92,639.2,0.0,complete
cluster543,2,1,1,{'Rhabdoviridae': 1.0},{'Alphanucleorhabdovirus': 1.0},Rhabdoviridae,Alphanucleorhabdovirus,57.83,578.3,0.0,complete
cluster544,26,1,1,{'Botourmiaviridae': 1.0},{'Penoulivirus': 1.0},Botourmiaviridae,Penoulivirus,890.81,791.9,901.8,complete
cluster545,14,1,1,{'Botourmiaviridae': 1.0},{'Betascleroulivirus': 1.0},Botourmiaviridae,Betascleroulivirus,286.19,832.4,225.5,complete
cluster546,20,1,1,{'Botourmiaviridae': 1.0},{'Scleroulivirus': 1.0},Botourmiaviridae,Scleroulivirus,776.85,735.9,781.4,complete
cluster547,2,1,1,{'Botourmiaviridae': 1.0},{'Scleroulivirus': 1.0},Botourmiaviridae,Scleroulivirus,27.82,166.6,12.4,complete
cluster548,5,1,1,{'Nyamiviridae': 1.0},{'Formivirus': 1.0},Nyamiviridae,Formivirus,148.31,511.1,108.0,complete
cluster549,5,1,1,{'Nyamiviridae': 1.0},{'Formivirus': 1.0},Nyamiviridae,Formivirus,230.57,828.8,164.1,complete
cluster550,5,1,1,{'Nyamiviridae': 1.0},{'Formivirus': 1.0},Nyamiviridae,Formivirus,1223.12,3379.7,983.5,complete
cluster551,3,1,1,{'Nyamiviridae': 1.0},{'Formivirus': 1.0},Nyamiviridae,Formivirus,41.99,310.1,12.2,complete
cluster552,2,1,1,{'Nyamiviridae': 1.0},{'Formivirus': 1.0},Nyamiviridae,Formivirus,38.57,385.7,0.0,complete
cluster553,2,1,1,{'Nyamiviridae': 1.0},{'Formivirus': 1.0},Nyamiviridae,Formivirus,31.59,315.9,0.0,complete
cluster554,2,1,1,{'Rhabdoviridae': 1.0},{'Betaricinrhavirus': 1.0},Rhabdoviridae,Betaricinrhavirus,200.95,1141.9,96.4,complete
cluster555,2,1,1,{'Rhabdoviridae': 1.0},{'Betaricinrhavirus': 1.0},Rhabdoviridae,Betaricinrhavirus,77.34,773.4,0.0,complete
cluster556,2,1,1,{'Rhabdoviridae': 1.0},{'Betaricinrhavirus': 1.0},Rhabdoviridae,Betaricinrhavirus,51.13,511.3,0.0,complete
cluster557,2,1,1,{'Rhabdoviridae': 1.0},{'Betaricinrhavirus': 1.0},Rhabdoviridae,Betaricinrhavirus,200.54,1452.8,61.4,complete
cluster558,2,1,1,{'Rhabdoviridae': 1.0},{'Betaricinrhavirus': 1.0},Rhabdoviridae,Betaricinrhavirus,1455.2,5023.7,1058.7,complete
cluster559,11,1,1,{'Botourmiaviridae': 1.0},{'Betabotoulivirus': 1.0},Botourmiaviridae,Betabotoulivirus,468.69,753.9,437.0,complete
cluster560,20,1,1,{'Botourmiaviridae': 1.0},{'Botoulivirus': 1.0},Botourmiaviridae,Botoulivirus,472.55,654.8,452.3,complete
cluster561,14,1,1,{'Rhabdoviridae': 1.0},{'Ephemerovirus': 1.0},Rhabdoviridae,Ephemerovirus,550.01,675.2,536.1,complete
cluster562,14,1,1,{'Rhabdoviridae': 1.0},{'Ephemerovirus': 1.0},Rhabdoviridae,Ephemerovirus,158.95,270.1,146.6,complete
cluster563,14,1,1,{'Rhabdoviridae': 1.0},{'Ephemerovirus': 1.0},Rhabdoviridae,Ephemerovirus,310.2,771.0,259.0,complete
cluster564,14,1,1,{'Rhabdoviridae': 1.0},{'Ephemerovirus': 1.0},Rhabdoviridae,Ephemerovirus,2640.74,3487.1,2546.7,complete
cluster565,7,1,1,{'Rhabdoviridae': 1.0},{'Ephemerovirus': 1.0},Rhabdoviridae,Ephemerovirus,144.32,670.1,85.9,complete
cluster566,7,1,1,{'Rhabdoviridae': 1.0},{'Ephemerovirus': 1.0},Rhabdoviridae,Ephemerovirus,36.81,252.9,12.8,complete
cluster567,6,1,1,{'Rhabdoviridae': 1.0},{'Ephemerovirus': 1.0},Rhabdoviridae,Ephemerovirus,58.48,381.4,22.6,complete
cluster568,6,1,1,{'Rhabdoviridae': 1.0},{'Ephemerovirus': 1.0},Rhabdoviridae,Ephemerovirus,18.15,181.5,0.0,complete
cluster569,4,1,1,{'Rhabdoviridae': 1.0},{'Ephemerovirus': 1.0},Rhabdoviridae,Ephemerovirus,72.09,384.3,37.4,complete
cluster570,3,1,1,{'Rhabdoviridae': 1.0},{'Ephemerovirus': 1.0},Rhabdoviridae,Ephemerovirus,150.37,1038.4,51.7,complete
cluster571,3,1,1,{'Rhabdoviridae': 1.0},{'Ephemerovirus': 1.0},Rhabdoviridae,Ephemerovirus,26.04,260.4,0.0,complete
cluster572,3,1,1,{'Rhabdoviridae': 1.0},{'Ephemerovirus': 1.0},Rhabdoviridae,Ephemerovirus,45.03,190.2,28.9,complete
cluster573,2,1,1,{'Rhabdoviridae': 1.0},{'Ephemerovirus': 1.0},Rhabdoviridae,Ephemerovirus,47.66,245.3,25.7,complete
cluster574,2,1,1,{'Rhabdoviridae': 1.0},{'Ephemerovirus': 1.0},Rhabdoviridae,Ephemerovirus,25.64,256.4,0.0,complete
cluster575,2,1,1,{'Rhabdoviridae': 1.0},{'Ephemerovirus': 1.0},Rhabdoviridae,Ephemerovirus,72.6,563.1,18.1,complete
cluster576,2,1,1,{'Rhabdoviridae': 1.0},{'Ephemerovirus': 1.0},Rhabdoviridae,Ephemerovirus,159.67,1143.1,50.4,complete
cluster577,2,1,1,{'Rhabdoviridae': 1.0},{'Ephemerovirus': 1.0},Rhabdoviridae,Ephemerovirus,32.71,160.6,18.5,complete
cluster578,2,1,1,{'Rhabdoviridae': 1.0},{'Ephemerovirus': 1.0},Rhabdoviridae,Ephemerovirus,29.99,299.9,0.0,complete
cluster579,2,1,1,{'Rhabdoviridae': 1.0},{'Ephemerovirus': 1.0},Rhabdoviridae,Ephemerovirus,72.86,563.9,18.3,complete
cluster580,2,1,1,{'Rhabdoviridae': 1.0},{'Ephemerovirus': 1.0},Rhabdoviridae,Ephemerovirus,127.53,1275.3,0.0,complete
cluster581,2,1,1,{'Rhabdoviridae': 1.0},{'Ephemerovirus': 1.0},Rhabdoviridae,Ephemerovirus,35.43,191.4,18.1,complete
cluster582,2,1,1,{'Rhabdoviridae': 1.0},{'Ephemerovirus': 1.0},Rhabdoviridae,Ephemerovirus,32.58,325.8,0.0,complete
cluster583,2,1,1,{'Rhabdoviridae': 1.0},{'Ephemerovirus': 1.0},Rhabdoviridae,Ephemerovirus,32.35,209.2,12.7,complete
cluster584,2,1,1,{'Rhabdoviridae': 1.0},{'Ephemerovirus': 1.0},Rhabdoviridae,Ephemerovirus,20.74,207.4,0.0,complete
cluster585,2,1,1,{'Rhabdoviridae': 1.0},{'Ephemerovirus': 1.0},Rhabdoviridae,Ephemerovirus,22.64,226.4,0.0,complete
cluster586,2,1,1,{'Rhabdoviridae': 1.0},{'Ephemerovirus': 1.0},Rhabdoviridae,Ephemerovirus,40.23,268.2,14.9,complete
cluster587,16,1,1,{'Rhabdoviridae': 1.0},{'Sunrhavirus': 1.0},Rhabdoviridae,Sunrhavirus,2241.69,3147.9,2141.0,complete
cluster588,15,1,1,{'Rhabdoviridae': 1.0},{'Sunrhavirus': 1.0},Rhabdoviridae,Sunrhavirus,457.77,557.4,446.7,complete
cluster589,12,1,1,{'Rhabdoviridae': 1.0},{'Sunrhavirus': 1.0},Rhabdoviridae,Sunrhavirus,196.52,774.5,132.3,complete
cluster590,7,1,1,{'Rhabdoviridae': 1.0},{'Sunrhavirus': 1.0},Rhabdoviridae,Sunrhavirus,33.45,189.6,16.1,complete
cluster591,3,1,1,{'Rhabdoviridae': 1.0},{'Sunrhavirus': 1.0},Rhabdoviridae,Sunrhavirus,26.67,266.7,0.0,complete
cluster592,3,1,1,{'Rhabdoviridae': 1.0},{'Sunrhavirus': 1.0},Rhabdoviridae,Sunrhavirus,189.73,1004.5,99.2,complete
cluster593,3,1,1,{'Rhabdoviridae': 1.0},{'Sunrhavirus': 1.0},Rhabdoviridae,Sunrhavirus,59.89,598.9,0.0,complete
cluster594,3,1,1,{'Rhabdoviridae': 1.0},{'Sunrhavirus': 1.0},Rhabdoviridae,Sunrhavirus,47.9,479.0,0.0,complete
cluster595,3,1,1,{'Rhabdoviridae': 1.0},{'Sunrhavirus': 1.0},Rhabdoviridae,Sunrhavirus,29.92,299.2,0.0,complete
cluster596,3,1,1,{'Rhabdoviridae': 1.0},{'Sunrhavirus': 1.0},Rhabdoviridae,Sunrhavirus,24.79,124.6,13.7,complete
cluster597,3,1,1,{'Rhabdoviridae': 1.0},{'Sunrhavirus': 1.0},Rhabdoviridae,Sunrhavirus,14.13,141.3,0.0,complete
cluster598,2,1,1,{'Rhabdoviridae': 1.0},{'Sunrhavirus': 1.0},Rhabdoviridae,Sunrhavirus,81.96,819.6,0.0,complete
cluster599,2,1,1,{'Rhabdoviridae': 1.0},{'Sunrhavirus': 1.0},Rhabdoviridae,Sunrhavirus,56.55,565.5,0.0,complete
